תאריך,מדינה,סוג,צירים,"שעת סגירת הצבעה
(שעון ישראל)"
03/02/2020,איווה,אסיפת בחירות,41,-
11/02/2020,ניו המפשייר,פריימריז,24,03:00
22/02/2020,נבדה,אסיפת בחירות,36,-
29/02/2020,קרוליינה הדרומית,פריימריז,54,02:00
03/03/2020,ורמונט,פריימריז,16,02:00
03/03/2020,וירג'יניה,פריימריז,99,02:00
03/03/2020,קרוליינה הצפונית,פריימריז,110,02:30
03/03/2020,אלבה,פריימריז,52,03:00
03/03/2020,מיין,פריימריז,24,03:00
03/03/2020,מסצ'וסטס,פריימריז,91,03:00
03/03/2020,אוקלהומה,פריימריז,37,03:00
03/03/2020,טנסי,פריימריז,64,03:00
03/03/2020,ארקנסו,פריימריז,31,03:30
03/03/2020,קולורדו,פריימריז,67,04:00
03/03/2020,מינסוטה,פריימריז,75,04:00
03/03/2020,טקסס,פריימריז,228,04:00
03/03/2020,יוטה,פריימריז,29,05:00
03/03/2020,קליפורניה,פריימריז,415,06:00
03/03/2020,סמואה האמריקנית,אסיפת בחירות,6,-
03/03/2020,"דמוקרטים מחו""ל",פריימריז,13,-
10/03/2020,מיסיסיפי,פריימריז,36,02:00
10/03/2020,מיזורי,פריימריז,68,02:00
10/03/2020,דקוטה הצפונית,אסיפת בחירות,14,02:00
10/03/2020,מישיגן,פריימריז,125,03:00
10/03/2020,איידהו,פריימריז,20,05:00
10/03/2020,וושינגטון,פריימריז,89,05:00
14/03/2020,איי מריאנה הצפוניים,אסיפת בחירות,6,-
17/03/2020,אוהיו,פריימריז,136,01:30
17/03/2020,פלורידה,פריימריז,219,02:00
17/03/2020,אילינוי,פריימריז,155,02:00
17/03/2020,אריזונה,פריימריז,67,04:00
24/03/2020,ג'ורג'יה,פריימריז,105,01:00
29/03/2020,פוארטו ריקו,פריימריז,51,22:00
04/04/2020,אלסקה,פריימריז,15,01:00
04/04/2020,הוואי,פריימריז,24,04:00
04/04/2020,לואיזיאנה,פריימריז,54,04:00
04/04/2020,ויומינג,אסיפת בחירות,14,-
07/04/2020,ויסקונסין,פריימריז,84,04:00
28/04/2020,קונטיקט,פריימריז,60,03:00
28/04/2020,דלאוור,פריימריז,21,03:00
28/04/2020,ממרילנד,פריימריז,96,03:00
28/04/2020,פנסילבניה,פריימריז,186,03:00
28/04/2020,רוד איילנד,פריימריז,26,03:00
28/04/2020,ניו יורק,פריימריז,274,04:00
02/05/2020,קנזס,פריימריז,39,01:00
02/05/2020,אינדיאנה,פריימריז,82,01:00
02/05/2020,גואם,אסיפת בחירות,7,13:00
12/05/2020,וירג'יניה המערבית,פריימריז,28,02:30
12/05/2020,נברסקה,פריימריז,29,04:00
19/05/2020,קנטקי,פריימריז,54,02:00
19/05/2020,אורגון,פריימריז,61,06:00
02/06/2020,וושינגטון די סי,פריימריז,20,03:00
02/06/2020,ניו ג'רזי,פריימריז,126,03:00
02/06/2020,ניו מקסיקו,פריימריז,34,04:00
02/06/2020,דקוטה הדרומית,פריימריז,16,04:00
02/06/2020,מונטנה,פריימריז,19,05:00
06/06/2020,איי הבתולה,אסיפת בחירות,7,01:00
