id,state,votes,status
US-AK,אלסקה,3,Rep
US-AL,אלבמה,9,Rep
US-AR,ארקנסו,6,Rep
US-AZ,אריזונה,11,Dem
US-CA,קליפורניה,55,Dem
US-CO,קולורדו,9,Dem
US-CT,קונטיקט,7,Dem
US-DC,וושינגטון די סי,3,Dem
US-DE,דלאוור,3,Dem
US-FL,פלורידה,29,Rep
US-GA,ג'ורג'יה,16,Voting
US-HI,הוואי,4,Dem
US-IA,איווה,6,Rep
US-ID,איידהו,4,Rep
US-IL,אילינוי,20,Dem
US-IN,אינדיאנה,11,Rep
US-KS,קנזס,6,Rep
US-KY,קנטקי,8,Rep
US-LA,לואיזיאנה,8,Rep
US-MA,מסצ'וסטס,11,Dem
US-MD,מרילנד,10,Dem
US-ME,מיין,4,Dem
US-MI,מישיגן,16,Dem
US-MN,מינסוטה,10,Dem
US-MO,מיזורי,10,Rep
US-MS,מיסיסיפי,6,Rep
US-MT,מונטנה,3,Rep
US-NC,קרוליינה הצפונית,15,Voting
US-ND,דקוטה הצפונית,3,Rep
US-NE,נברסקה,5,Rep
US-NH,ניו המפשייר,4,Dem
US-NJ,ניו ג'רזי,14,Dem
US-NM,ניו מקסיקו,5,Dem
US-NV,נבדה,6,Dem
US-NY,ניו יורק,29,Dem
US-OH,אוהיו,18,Rep
US-OK,אוקלהומה,7,Rep
US-OR,אורגון,7,Dem
US-PA,פנסילבניה,20,Dem
US-RI,רוד איילנד,4,Dem
US-SC,קרוליינה הדרומית,9,Rep
US-SD,דקוטה הדרומית,3,Rep
US-TN,טנסי,11,Rep
US-TX,טקסס,38,Rep
US-UT,יוטה,6,Rep
US-VA,וירג'יניה,13,Dem
US-VT,ורמונט,3,Dem
US-WA,וושינגטון,12,Dem
US-WI,ויסקונסין,10,Dem
US-WV,וירג'יניה המערבית,5,Rep
US-WY,ויומינג,3,Rep
